date,total_cases,age_0_to_4,age_5_to_17,age_18_to_49,age_50_to_64,age_65_and_over,age_unknown,age_50_and_over,age_under_50,sex_female,sex_male,sex_unknown,borough_bronx,borough_brooklyn,borough_manhattan,borough_queens,borough_staten_island,borough_unknown,deaths
2020-03-17,923,0,25,457,211,230,NA,NA,NA,378,536,NA,106,236,290,248,42,1,10
2020-03-18,2009,5,42,1034,463,464,1,927,1081,850,1155,4,303,505,590,533,77,1,19
