date,total_cases,new_cases
2020-03-01,1,1
2020-03-02,1,0
2020-03-03,2,1
2020-03-04,2,0
2020-03-05,4,2
2020-03-06,7,3
2020-03-07,12,5
2020-03-08,14,2
2020-03-09,25,11
2020-03-10,32,7
2020-03-11,53,21
2020-03-12,88,35
2020-03-13,137,49
2020-03-14,185,48
2020-03-15,269,84
2020-03-16,464,195
2020-03-17,923,459
2020-03-18,2009,1086
2020-03-19,3954,1945
2020-03-20,5683,1729
2020-03-21,8115,2432
